comment_id,text,video_id,video_title
UgxXfz3edYKkSQ_bWqp4AaABAg,The music that always makes me hapy,dQw4w9WgXcQ,Unknown
UgwYxQMYZV5q3C24MAd4AaABAg,Just got rickrolled by someone’s discord bio 😓,dQw4w9WgXcQ,Unknown
UgzzuVGb6mB7Nerw6ad4AaABAg,"I was searching up how to make a hat in Roblox and then it showed a YouTube link saying, “how to make hats in Roblox” and I got rickrolled 😭😭",dQw4w9WgXcQ,Unknown
UgxId03DA5nMksOzN0d4AaABAg,Rick roleada,dQw4w9WgXcQ,Unknown
UgxnfEB5abQ8e-x24tp4AaABAg,Got rickrolled by a qr code in a zombie movie 😂,dQw4w9WgXcQ,Unknown
Ugz5jp-SV3sPhThsMit4AaABAg,Never gonna let you up never gonna let you down😅😅😅😅😅😅😅,dQw4w9WgXcQ,Unknown
UgxTVbzKM0MpXGJim6Z4AaABAg,Who came from the game an elmwood trail👇👇👇,dQw4w9WgXcQ,Unknown
Ugzzi5iBifCLRBBENKN4AaABAg,"Rickrolled, Damn! it got me from CaseOh 😢 I scanned the backrooms qr code before he did",dQw4w9WgXcQ,Unknown
UgyH4NlaHz7i8w2MzZB4AaABAg,Im gonna try to rick roll my teacher wish me luck,dQw4w9WgXcQ,Unknown
UgxeE77Ry7-xzPz3PAV4AaABAg,Ads save me,dQw4w9WgXcQ,Unknown
Ugw-lxQbWPNhkJuhc_14AaABAg,A não kskskskaksks,dQw4w9WgXcQ,Unknown
UgwbVy32Mr02TdedYWR4AaABAg,Sup,dQw4w9WgXcQ,Unknown
UgzKsjO7YWHwrMsqaQR4AaABAg,Bruh it got from escape ps2 hagird to this of the qr,dQw4w9WgXcQ,Unknown
Ugy1t7BjLrPimVuVyx54AaABAg,Dam they got me,dQw4w9WgXcQ,Unknown
UgxrxTTJinJxg62Eb-B4AaABAg,I got Rickrolled💀💀,dQw4w9WgXcQ,Unknown
UgwTfSbFFARKZjpPU8J4AaABAg,"The legend will never faid,we will never give you up rick",dQw4w9WgXcQ,Unknown
UgyrTsnQx4ItzQ2EiTJ4AaABAg,Dannymulligan,dQw4w9WgXcQ,Unknown
